Unnamed_0,ID,rooms_qnty,metro_station_rating,time_to_metro,apart_area,floor,house_type,parking,price,repairs,balcony,bathroom,animals_kids,room_furn,kitch_furn,fridge,washing_mach,internet,ceil_height,elevator
28,264664760,3,2,15,132.8,5,4,0,400000.0,2,0,2,2,1,1,1,1,1,3.06,0
29,228923308,5,2,10,256.0,8,5,1,750000.0,3,0,6,2,1,1,1,1,1,3.0,1
30,267489303,6,2,5,380.0,3,2,1,870000.0,1,0,4,2,0,1,1,1,1,4.0,1
31,273353104,3,2,7,112.0,3,5,1,350000.0,1,0,4,0,1,1,1,1,1,3.15,0
32,273353103,2,2,7,91.0,10,5,1,400000.0,1,0,4,0,1,1,1,1,1,3.15,0
33,268321690,3,2,11,135.0,5,5,1,400000.0,3,0,3,2,1,1,1,1,0,3.06,1
34,269496185,4,2,3,190.0,4,5,1,590000.0,3,0,2,1,1,1,1,1,1,3.2,1
35,272188531,2,2,15,44.0,21,2,0,135000.0,1,0,2,0,1,1,1,1,1,4.15,0
36,272727784,3,2,9,85.0,7,2,0,150000.0,2,1,1,2,1,1,1,1,1,3.06,0
37,267110043,2,2,7,100.0,5,5,0,320000.0,1,1,4,1,1,1,1,1,1,3.0,1
38,265323319,3,2,7,133.3,5,5,1,400000.0,1,0,4,1,1,1,1,1,1,3.15,0
39,265804792,4,2,7,210.0,3,2,0,400000.0,1,1,6,1,1,1,1,1,1,3.8,0
40,239000408,4,2,9,180.0,4,2,0,450000.0,1,0,4,2,1,1,1,1,1,3.06,0
41,271209314,4,2,5,165.0,9,5,0,470000.0,1,0,4,1,1,1,1,1,1,3.35,1
42,269889430,4,2,6,190.0,4,2,0,590000.0,1,0,4,1,1,1,1,1,1,4.05,0
43,241704098,4,2,5,168.0,4,5,0,600000.0,1,0,4,1,1,1,1,1,1,3.35,1
44,239000331,5,1,8,250.0,8,5,0,850000.0,1,0,6,1,1,1,1,1,1,3.06,1
45,272823500,3,2,7,85.0,7,2,1,150000.0,2,1,1,0,1,1,1,1,1,3.06,1
46,274402813,3,2,5,105.0,6,5,1,195000.0,2,0,3,2,1,1,1,1,0,3.06,0
47,270190788,3,2,5,134.0,8,4,1,300000.0,2,1,4,2,1,1,1,1,1,3.06,1
48,271265359,2,2,5,60.0,5,2,1,90000.0,2,0,1,1,1,1,1,1,1,3.2,1
